"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1971,1265777.7563,500018.016688615,64401.6237032543,3717.97362272416,18227.203696477,1547.00428361612,1497.1009196285,1547.00428361612,0,0,0,0,0.0406876619260171,0.18726292599023,0.0254238906724085,0.00196571755762406
1972,1266607.41955,500088.433008259,64469.7685287164,3788.38994236824,19504.703696477,1655.43001941352,1602.02905104534,1655.43001941352,0,0,0,0,0.0407544339001216,0.187329697964334,0.025490662646513,0.00203248953172855
1973,1267437.0828,500158.849327903,64537.9133541784,3858.80626201232,27355.6916685714,2321.76986098758,2246.87405902024,2321.76986098758,0,0,0,0,0.0410295071383303,0.187604771202543,0.0257657358847217,0.00230756276993724
1974,1279052.35005,501144.676253981,65491.9394116732,4844.63318809035,117751.096810424,35876.7641350818,7069.95752890834,2955.07332597319,0,0,0,0,0.0442620302830514,0.200500836465451,0.027994559004854,0.00291207680483256
1975,1456269.6533,574826.92804238,73614.4362387186,4915.04950773443,119667.346810424,36039.4027387778,7227.3497260336,3117.71192966928,0,0,0,0,0.0499384300488765,0.228071360058676,0.0311889606345495,0.00299908954502827
1976,1514735.1308,595796.784749933,76835.0867327161,5689.62747488022,121264.221810424,36174.9349085246,7358.50989030465,3253.24409941603,0,0,0,0,0.0518416911492136,0.235951209549902,0.0324820974625852,0.00333888574309149
1977,1588743.9308,630523.483055018,79596.9375801737,5689.62747488022,121902.971810424,36229.1477764233,7410.97395601306,3307.45696731473,0,0,0,0,0.0542071292687157,0.248936914139576,0.0335678671050103,0.0033591265091827
1978,1590403.2573,630664.315694306,79733.2272310978,5830.46011416838,123180.471810424,36337.5735122207,7515.9020874299,3415.88270311213,3650,309.787816563997,299.794661190965,309.787816563997,0.0544158532052635,0.249145638076124,0.0337765910415581,0.00356785044573048
1979,1620685.8984,633234.50563024,82220.50781426,8400.65005010267,123824.09416131,36392.1999129803,7568.76634622954,3470.50910387175,3650,309.787816563997,299.794661190965,309.787816563997,0.055395847357255,0.250125632228115,0.0347565851935496,0.00454784459772193
1980,1679981.05375,656060.237971753,84942.9048234544,9245.64557604381,127337.21916131,36690.3706864232,7857.31870762584,3768.6798773146,3650,309.787816563997,299.794661190965,309.787816563997,0.0573861216604339,0.258759108600187,0.0359182168951664,0.00497465399862694
1981,1967414.93655,781542.578277529,97297.277165965,9562.51885954826,129253.46916131,36853.0092901193,8014.7109047511,3931.3184810107,3650,309.787816563997,299.794661190965,309.787816563997,0.0665550740776013,0.305669569662564,0.0407452865478036,0.00515368322771914
1982,1974881.9058,782176.325154326,97910.5805951231,10196.265736345,129253.46916131,36853.0092901193,8014.7109047511,3931.3184810107,3650,309.787816563997,299.794661190965,309.787816563997,0.0667916880548999,0.305906183639863,0.0409819005251023,0.0053902972050178
1983,2160733.56905,861438.46565883,106991.138122598,10266.682055989,130530.96916131,36961.4350259167,8119.63903616794,4039.7442168081,5292.5,449.192334017796,434.702258726899,449.192334017796,0.0727735010967662,0.335591805935919,0.0445777312567488,0.00550911686335683
1984,2164881.88165,861790.546947262,107331.861950114,10618.7633444216,131808.46916131,37069.8607617141,8224.56716758477,4148.1699526055,5292.5,449.192334017796,434.702258726899,449.192334017796,0.0729454347228975,0.33576373956205,0.0447496648828801,0.0056810504894881
1985,2165711.5449,861860.963266907,107400.006775576,10689.1796640657,132447.21916131,37124.0736296128,8277.03123329319,4202.3828205042,5292.5,449.192334017796,434.702258726899,449.192334017796,0.0729919659309108,0.335810270770063,0.0447961960908934,0.00572758169750138
1986,2169837.8314,863011.559843215,107659.849372144,10830.0123033539,135960.34416131,37422.2444030556,8565.58359468949,4500.55359394704,5292.5,449.192334017796,434.702258726899,449.192334017796,0.0732340442733703,0.336351178532067,0.0450077682197378,0.00589148679484719
1987,2262928.84965,895627.507923363,112800.751662305,12449.5845572895,138515.34416131,37639.0958746504,8775.43985752317,4717.40506554184,5292.5,449.192334017796,434.702258726899,449.192334017796,0.0762648836987385,0.348609541566619,0.0470721040812326,0.0065771288668045
