"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1955,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1956,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1957,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1958,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1959,4148.3126,352.08128843258,340.7238275154,352.08128843258,0,0,0,0,0,0,0,0,0.000131452093948843,0.000131452093948843,0.000131452093948843,0.000131452093948843
1960,5807.6391,492.913927720739,477.013478439425,492.913927720739,0,0,0,0,0,0,0,0,0.000184032977792988,0.000184032977792988,0.000184032977792988,0.000184032977792988
1961,6637.30235,563.330247364819,545.158303901437,563.330247364819,0,0,0,0,0,0,0,0,0.000210323419715061,0.000210323419715061,0.000210323419715061,0.000210323419715061
1962,6637.30235,563.330247364819,545.158303901437,563.330247364819,0,0,0,0,0,0,0,0,0.000210323419715061,0.000210323419715061,0.000210323419715061,0.000210323419715061
1963,8296.6252,704.162576865161,681.447655030801,704.162576865161,0,0,0,0,0,0,0,0,0.000262904187897686,0.000262904187897686,0.000262904187897686,0.000262904187897686
1964,10785.61495,915.411535797399,885.882131416838,915.411535797399,0,0,0,0,0,0,0,0,0.000341775513663904,0.000341775513663904,0.000341775513663904,0.000341775513663904
1965,12444.9378,1056.24386529774,1022.1714825462,1056.24386529774,0,0,0,0,0,0,0,0,0.000394356281846528,0.000394356281846528,0.000394356281846528,0.000394356281846528
1966,78817.8518,6689.53704531143,6473.74552772074,6689.53704531143,0,0,0,0,0,0,0,0,0.00249758700915152,0.00249758700915152,0.00249758700915152,0.00249758700915152
1967,80477.1783,6830.36968459959,6610.03517864476,6830.36968459959,0,0,0,0,0,0,0,0,0.00255016789299567,0.00255016789299567,0.00255016789299567,0.00255016789299567
1968,82966.16805,7041.61864353183,6814.4696550308,7041.61864353183,0,0,0,0,0,0,0,0,0.00262903921876188,0.00262903921876188,0.00262903921876188,0.00262903921876188
1969,82966.16805,7041.61864353183,6814.4696550308,7041.61864353183,0,0,0,0,0,0,0,0,0.00262903921876188,0.00262903921876188,0.00262903921876188,0.00262903921876188
1970,84210.6611,7147.24296810404,6916.68674332649,7147.24296810404,0,0,0,0,0,0,0,0,0.00266847482381423,0.00266847482381423,0.00266847482381423,0.00266847482381423
