"ID","Month","BG.Test","BG.Test.crit","regime"
"08EG018",7,1.34713635520494,8.10860601067393,"Hybrid"
"08EG018",8,3.13983515227125,6.26051391406907,"Hybrid"
"08EG018",9,0.470216877271018,7.07183632310573,"Hybrid"
"08LA001",9,2.32896358962251,4.38491207553683,"Snowfall"
"08LA001",10,2.64641125533802,4.3962229599534,"Snowfall"
"08GB013",8,0.740072764306248,7.33901953794667,"Glacial"
"08GB013",9,6.33220554915106,6.04906425625382,"Glacial"
"08GB013",10,2.5096233763155,5.42411112355938,"Glacial"
"08NM142",9,0.177225512880083,4.49489266878705,"Hybrid"
"08NM142",10,0.999029827897156,4.87096043377327,"Hybrid"
"08NM142",11,0.384339052387052,4.39437783551557,"Hybrid"
"08LG048",8,3.96882561931782,4.95308549785192,"Hybrid"
"08LG048",9,1.23314524959936,4.62919647083245,"Hybrid"
"08LG048",10,0.0131125929188076,4.52645011902423,"Hybrid"
"08NB005",9,4.65011292259942,4.30674234672978,"Snowfall"
"08NB005",10,21.4348813100957,4.61476320768078,"Snowfall"
"08NA002",9,0.533991038457621,4.6664803493561,"Snowfall"
"08NA002",10,2.45890447510152,4.39626364604151,"Snowfall"
"08MF068",8,0.0419216286411747,5.93867527739381,"Hybrid"
"08MF068",9,2.30982126327947,4.71206222275988,"Hybrid"
"08MF068",10,0.0369375096572273,5.86883032955374,"Hybrid"
"08MF062",8,5.83563487947845,4.37857219333727,"Hybrid"
"08MF062",9,1.00242311156213,4.55645280115076,"Hybrid"
"08MF062",10,5.02526492604061,4.5315230200558,"Hybrid"
"08MH141",8,1.07825024989167,4.75507234146565,"Hybrid"
"08MH141",9,3.36787067972522,4.76386432290752,"Hybrid"
"08MH141",10,9.03817449061776,4.85395018553584,"Hybrid"
"08LE077",8,0.013906470253801,4.44652676391231,"Hybrid"
"08LE077",9,0.437133754488942,4.66918158633655,"Hybrid"
"08LE077",10,0.621001972814212,4.74861430327774,"Hybrid"
"08HA072",7,10.1127388813484,10.8650720583931,"Rainfall"
"08HA072",8,0.389232698659137,5.65179580949915,"Rainfall"
"08HA072",9,0.707720385313092,6.56275903179593,"Rainfall"
"08HC006",8,0.0806431976582388,6.42863248332228,"Hybrid"
"08HC006",9,3.2333864574691,7.80769452391741,"Hybrid"
"08HC006",10,1.69853349728918,5.6075984127965,"Hybrid"
"08HB074",8,0.465046571474296,4.66908540944213,"Hybrid"
"08HB074",9,1.30306741658307,5.12876315406818,"Hybrid"
"08HB074",10,0.249042372176043,4.80564336489717,"Hybrid"
"08FC003",8,1.23246110027431,4.36492813354815,"Hybrid"
"08FC003",9,1.44529565859985,4.71213297079112,"Hybrid"
"08FC003",10,0.297867103501056,4.76940203669227,"Hybrid"
"08NE087",9,1.41782046566223,4.8418848319469,"Hybrid"
"08NE087",10,0.148447774532236,4.68307267734172,"Hybrid"
"08KA001",9,0.0941114495155941,4.49529155638785,"Glacial"
"08KA001",10,0.215218651821634,4.16967188505935,"Glacial"
"08JD006",8,0.0606041418396791,4.51304610286002,"Hybrid"
"08JD006",9,0.0649644568905786,4.84457425022779,"Hybrid"
"08JD006",10,0.0979802649062225,5.35571605700749,"Hybrid"
"08NH016",9,4.73476425997625,4.85123225182431,"Snowfall"
"08NH016",10,9.12417847294105,4.67829207783262,"Snowfall"
"08NJ026",8,0.141511062713596,6.83099557507048,"Hybrid"
"08NJ026",9,0.0502494736431882,7.54945245143421,"Hybrid"
"08NJ026",10,0.063127904787272,4.9014800476579,"Hybrid"
"08NH119",9,2.32344957870654,4.71762061378316,"Glacial"
"08NH119",10,0.152217542493742,4.60308137629155,"Glacial"
"08LE024",9,0.000569160696041628,4.69283410100662,"Hybrid"
"08LE024",10,0.0317024384687919,4.72175365958717,"Hybrid"
"08LE108",9,7.74352066987121,4.93572001495232,"Hybrid"
"08LE108",10,1.69352052755872,5.21694777650191,"Hybrid"
"08LE108",11,4.7499039077885,4.67399733166785,"Hybrid"
